stock_delivery_date,inventory_cycle,coverage_window,cycle_days,cycle_total_sales,cycle_total_units,cycle_avg_order_value,recommended_stock_units,avg_recommended_stock_pct,festival_days,christmas_market_days,low_sales_inconsistent_days,product_mix_shift_days,dominant_festival,dominant_holiday,max_aov_deviation_pct,max_poutine_share_shift_pct,max_new_poutine_share,cycle_sales_band,festival_buffer_pct,low_sales_inconsistency_buffer_pct,product_mix_buffer_pct,observed_stock_order_units,estimated_waste_units,estimated_waste_rate_pct,primary_wastage_driver,inventory_observation
2024-02-19,Monday Delivery,Tue-Wed-Thu,3,11258.02,1328,19.52,265.6,0.2,0,0,0,0,No Festival,No School Holiday,3.31,4.64,0.0,10k-12k,0.0,0.0,0.0,265.6,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-02-22,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,26886.55,3126,19.04,689.7,0.22,0,0,0,0,No Festival,No School Holiday,6.64,3.13,0.0,12k+,0.0,0.0,0.0,689.7,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-02-26,Monday Delivery,Tue-Wed-Thu,3,10606.59,1254,18.89,250.8,0.2,0,0,0,0,No Festival,No School Holiday,4.21,4.48,0.0,10k-12k,0.0,0.0,0.0,250.8,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-02-29,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,25566.55,2907,19.39,640.9,0.22,0,0,0,0,No Festival,No School Holiday,5.15,1.67,0.0,12k+,0.0,0.0,0.0,640.9,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-03-04,Monday Delivery,Tue-Wed-Thu,3,10393.99,1210,19.02,242.0,0.2,0,0,0,0,No Festival,No School Holiday,10.9,4.05,0.0,10k-12k,0.0,0.0,0.0,242.0,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-03-07,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,24700.46,2793,19.92,616.7,0.22,0,0,0,0,No Festival,No School Holiday,6.19,3.36,0.0,12k+,0.0,0.0,0.0,616.7,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-03-11,Monday Delivery,Tue-Wed-Thu,3,9683.07,1124,18.9,224.8,0.2,0,0,0,0,No Festival,No School Holiday,4.39,2.7,0.0,8k-10k,0.0,0.0,0.0,224.8,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-03-14,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,23873.23,2788,19.26,617.1,0.22,0,0,0,0,No Festival,No School Holiday,7.83,4.66,0.0,12k+,0.0,0.0,0.0,617.1,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-03-18,Monday Delivery,Tue-Wed-Thu,3,10476.07,1213,19.25,242.60000000000002,0.2,0,0,0,0,No Festival,No School Holiday,1.84,3.99,0.0,10k-12k,0.0,0.0,0.0,242.6,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-03-21,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,25686.78,2935,19.31,647.6,0.22,0,0,0,0,No Festival,No School Holiday,2.1,4.44,0.0,12k+,0.0,0.0,0.0,647.6,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-03-25,Monday Delivery,Tue-Wed-Thu,3,9915.16,1153,19.18,230.6,0.2,0,0,0,0,No Festival,Easter Holiday,3.86,3.0,0.0,8k-10k,0.0,0.0,0.0,230.6,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-03-28,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,39091.68,4424,21.07,1080.8,0.24,4,0,0,0,Easter Weekend,Easter Holiday,13.64,1.87,0.0,12k+,0.03,0.0,0.0,1213.5,132.7,10.9,Festival stock uplift,Festival uplift triggered additional stock and higher expiry risk.
2024-04-01,Monday Delivery,Tue-Wed-Thu,3,10826.97,1289,18.31,257.8,0.2,0,0,1,0,No Festival,Easter Holiday,10.95,4.0,0.0,10k-12k,0.0,0.02,0.0,283.6,25.8,9.1,Low-sales order value inconsistency,"Low-sales cycle still showed volatile order value, which can distort stock ordering."
2024-04-04,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,25730.89,2962,18.89,643.3000000000001,0.22,0,0,0,0,No Festival,Easter Holiday,7.78,2.74,0.0,12k+,0.0,0.0,0.0,643.3,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-04-08,Monday Delivery,Tue-Wed-Thu,3,10267.33,1240,18.31,248.0,0.2,0,0,0,1,No Festival,No School Holiday,9.27,6.52,0.0,10k-12k,0.0,0.0,0.02,272.8,24.8,9.1,Product-mix volatility,"Product mix shifted toward poutine-heavy demand, increasing wastage pressure."
2024-04-11,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,25477.55,2910,19.55,642.8,0.22,0,0,0,0,No Festival,No School Holiday,2.46,4.23,0.0,12k+,0.0,0.0,0.0,642.8,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-04-15,Monday Delivery,Tue-Wed-Thu,3,10625.89,1253,19.38,250.6,0.2,0,0,1,0,No Festival,No School Holiday,11.32,5.08,0.0,10k-12k,0.0,0.02,0.0,275.7,25.1,9.1,Low-sales order value inconsistency,"Low-sales cycle still showed volatile order value, which can distort stock ordering."
2024-04-18,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,25577.64,2915,19.69,643.4,0.22,0,0,0,0,No Festival,No School Holiday,5.2,4.53,0.0,12k+,0.0,0.0,0.0,643.4,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-04-22,Monday Delivery,Tue-Wed-Thu,3,11305.09,1321,18.89,264.2,0.2,0,0,0,0,No Festival,No School Holiday,7.35,4.16,0.0,10k-12k,0.0,0.0,0.0,264.2,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-04-25,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,25438.79,2912,19.44,642.4,0.22,0,0,0,0,No Festival,No School Holiday,3.15,3.19,0.0,12k+,0.0,0.0,0.0,642.4,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-04-29,Monday Delivery,Tue-Wed-Thu,3,10491.8,1232,18.37,246.4,0.2,0,0,0,0,No Festival,No School Holiday,9.12,4.83,0.0,10k-12k,0.0,0.0,0.0,246.4,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-05-02,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,26441.04,3067,19.08,677.0,0.22,0,0,0,0,No Festival,No School Holiday,1.79,1.56,0.0,12k+,0.0,0.0,0.0,677.0,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-05-06,Monday Delivery,Tue-Wed-Thu,3,10341.88,1224,18.59,244.8,0.2,0,0,0,0,No Festival,No School Holiday,6.09,2.31,0.0,10k-12k,0.0,0.0,0.0,244.8,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-05-09,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,26630.29,3105,19.06,685.7,0.22,0,0,0,0,No Festival,No School Holiday,2.38,4.72,0.0,12k+,0.0,0.0,0.0,685.7,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-05-13,Monday Delivery,Tue-Wed-Thu,3,9581.93,1137,18.21,227.4,0.2,0,0,0,0,No Festival,No School Holiday,12.33,5.62,0.0,8k-10k,0.0,0.0,0.0,227.4,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-05-16,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,27788.14,3240,19.25,723.4,0.22,0,0,0,0,No Festival,No School Holiday,6.05,2.13,0.0,12k+,0.0,0.0,0.0,723.4,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-05-20,Monday Delivery,Tue-Wed-Thu,3,10863.16,1264,19.05,252.8,0.2,0,0,0,0,No Festival,No School Holiday,3.94,5.54,0.0,10k-12k,0.0,0.0,0.0,252.8,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-05-23,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,27296.14,3103,19.86,684.7,0.22,0,0,0,0,No Festival,No School Holiday,8.97,3.15,0.0,12k+,0.0,0.0,0.0,684.7,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-05-27,Monday Delivery,Tue-Wed-Thu,3,9701.9,1178,18.27,235.60000000000002,0.2,0,0,0,0,No Festival,No School Holiday,5.99,3.05,0.0,8k-10k,0.0,0.0,0.0,235.6,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-05-30,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,26914.13,3247,18.36,716.9000000000001,0.22,0,0,0,0,No Festival,No School Holiday,8.38,3.67,0.0,12k+,0.0,0.0,0.0,716.9,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-06-03,Monday Delivery,Tue-Wed-Thu,3,10359.46,1348,17.53,269.6,0.2,0,0,1,1,No Festival,No School Holiday,12.36,6.13,0.0,10k-12k,0.0,0.02,0.02,323.5,53.9,16.7,Low-sales order value inconsistency,"Low-sales cycle still showed volatile order value, which can distort stock ordering."
2024-06-06,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,24369.1,2992,18.62,661.2,0.22,0,0,0,1,No Festival,No School Holiday,8.48,6.22,0.0,12k+,0.0,0.0,0.02,721.0,59.8,8.3,Product-mix volatility,"Product mix shifted toward poutine-heavy demand, increasing wastage pressure."
2024-06-10,Monday Delivery,Tue-Wed-Thu,3,9379.75,1216,17.53,243.2,0.2,0,0,0,0,No Festival,No School Holiday,15.46,4.58,0.0,8k-10k,0.0,0.0,0.0,243.2,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-06-13,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,26402.19,3148,18.68,695.2,0.22,0,0,0,0,No Festival,No School Holiday,9.07,3.02,0.0,12k+,0.0,0.0,0.0,695.2,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-06-17,Monday Delivery,Tue-Wed-Thu,3,10617.67,1338,18.17,267.6,0.2,0,0,0,0,No Festival,No School Holiday,4.05,2.6,0.0,10k-12k,0.0,0.0,0.0,267.6,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-06-20,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,24426.88,3019,18.19,666.7,0.22,0,0,0,0,No Festival,No School Holiday,4.92,5.64,0.0,12k+,0.0,0.0,0.0,666.7,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-06-24,Monday Delivery,Tue-Wed-Thu,3,9752.07,1231,17.73,246.2,0.2,0,0,0,0,No Festival,No School Holiday,6.63,4.98,0.0,8k-10k,0.0,0.0,0.0,246.2,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-06-27,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,23861.18,2949,18.27,640.4,0.22,0,0,0,0,No Festival,No School Holiday,2.65,2.2,0.0,12k+,0.0,0.0,0.0,640.4,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-07-01,Monday Delivery,Tue-Wed-Thu,3,10019.57,1285,17.8,257.0,0.2,0,0,0,1,No Festival,No School Holiday,4.89,6.35,0.0,10k-12k,0.0,0.0,0.02,282.7,25.7,9.1,Product-mix volatility,"Product mix shifted toward poutine-heavy demand, increasing wastage pressure."
2024-07-04,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,24784.5,3107,18.25,686.1,0.22,0,0,1,1,No Festival,No School Holiday,10.13,6.35,0.0,12k+,0.0,0.02,0.02,810.4,124.3,15.3,Low-sales order value inconsistency,"Low-sales cycle still showed volatile order value, which can distort stock ordering."
2024-07-08,Monday Delivery,Tue-Wed-Thu,3,8785.11,1086,18.21,217.2,0.2,0,0,0,0,No Festival,Summer Holiday,7.9,2.81,0.0,8k-10k,0.0,0.0,0.0,217.2,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-07-11,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,34559.54,4299,19.25,1029.7,0.24,4,0,0,0,Summer Festival,Summer Holiday,6.29,2.3,0.0,12k+,0.03,0.0,0.0,1158.7,129.0,11.1,Festival stock uplift,Festival uplift triggered additional stock and higher expiry risk.
2024-07-15,Monday Delivery,Tue-Wed-Thu,3,18607.59,2249,19.67,494.7,0.22,3,0,0,0,Summer Festival,Summer Holiday,11.46,4.82,0.0,12k+,0.03,0.0,0.0,562.2,67.5,12.0,Festival stock uplift,Festival uplift triggered additional stock and higher expiry risk.
2024-07-18,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,28231.01,3580,18.64,825.4,0.22,3,0,0,0,Summer Festival,Summer Holiday,7.7,3.19,0.0,12k+,0.03,0.0,0.0,932.8,107.4,11.5,Festival stock uplift,Festival uplift triggered additional stock and higher expiry risk.
2024-07-22,Monday Delivery,Tue-Wed-Thu,3,8447.21,1037,18.65,207.4,0.2,0,0,0,0,No Festival,Summer Holiday,7.89,4.84,0.0,8k-10k,0.0,0.0,0.0,207.4,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-07-25,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,23262.15,2907,17.95,642.5,0.22,0,0,0,0,No Festival,Summer Holiday,7.9,3.45,0.0,12k+,0.0,0.0,0.0,642.5,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-07-29,Monday Delivery,Tue-Wed-Thu,3,8416.22,1010,18.0,202.0,0.2,0,0,0,0,No Festival,Summer Holiday,5.46,2.91,0.0,8k-10k,0.0,0.0,0.0,202.0,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-08-01,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,21072.81,2757,17.55,600.2,0.22,0,0,0,0,No Festival,Summer Holiday,7.72,3.61,0.0,12k+,0.0,0.0,0.0,600.2,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-08-05,Monday Delivery,Tue-Wed-Thu,3,7856.41,982,17.46,196.4,0.2,0,0,0,0,No Festival,Summer Holiday,7.62,4.23,0.0,5k-8k,0.0,0.0,0.0,196.4,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-08-08,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,22657.87,2754,18.29,610.5,0.22,0,0,0,0,No Festival,Summer Holiday,6.12,4.31,0.0,12k+,0.0,0.0,0.0,610.5,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-08-12,Monday Delivery,Tue-Wed-Thu,3,8374.14,1009,19.31,201.8,0.2,0,0,0,0,No Festival,Summer Holiday,8.96,3.58,0.0,8k-10k,0.0,0.0,0.0,201.8,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-08-15,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,21543.06,2638,18.49,573.4,0.22,0,0,0,0,No Festival,Summer Holiday,10.45,4.79,0.0,12k+,0.0,0.0,0.0,573.4,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-08-19,Monday Delivery,Tue-Wed-Thu,3,9078.66,1098,18.76,219.60000000000002,0.2,0,0,0,0,No Festival,No School Holiday,6.11,3.49,0.0,8k-10k,0.0,0.0,0.0,219.6,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-08-22,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,22579.32,2756,18.1,599.5,0.22,0,0,0,0,No Festival,No School Holiday,8.73,3.87,0.0,12k+,0.0,0.0,0.0,599.5,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-08-26,Monday Delivery,Tue-Wed-Thu,3,7949.94,1062,16.86,212.4,0.2,0,0,0,1,No Festival,No School Holiday,11.95,8.28,0.0,5k-8k,0.0,0.0,0.02,233.6,21.2,9.1,Product-mix volatility,"Product mix shifted toward poutine-heavy demand, increasing wastage pressure."
2024-08-29,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,24143.35,2885,18.9,627.0,0.22,0,0,0,0,No Festival,No School Holiday,12.05,4.7,0.0,12k+,0.0,0.0,0.0,627.0,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-09-02,Monday Delivery,Tue-Wed-Thu,3,9828.06,1200,18.48,240.0,0.2,0,0,0,0,No Festival,No School Holiday,3.84,5.11,0.0,8k-10k,0.0,0.0,0.0,240.0,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-09-05,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,25878.28,2922,19.38,645.1,0.22,0,0,0,0,No Festival,No School Holiday,7.91,3.36,0.0,12k+,0.0,0.0,0.0,645.1,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-09-09,Monday Delivery,Tue-Wed-Thu,3,10283.18,1209,18.91,241.8,0.2,0,0,0,1,No Festival,No School Holiday,3.06,6.8,0.0,10k-12k,0.0,0.0,0.02,266.0,24.2,9.1,Product-mix volatility,"Product mix shifted toward poutine-heavy demand, increasing wastage pressure."
2024-09-12,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,25342.53,2845,19.5,628.1,0.22,0,0,0,1,No Festival,No School Holiday,8.09,6.49,0.0,12k+,0.0,0.0,0.02,685.0,56.9,8.3,Product-mix volatility,"Product mix shifted toward poutine-heavy demand, increasing wastage pressure."
2024-09-16,Monday Delivery,Tue-Wed-Thu,3,9541.98,1116,18.66,223.2,0.2,0,0,0,0,No Festival,No School Holiday,3.79,3.37,0.0,8k-10k,0.0,0.0,0.0,223.2,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-09-19,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,25231.3,2846,19.87,628.3,0.22,0,0,0,0,No Festival,No School Holiday,10.45,3.49,0.0,12k+,0.0,0.0,0.0,628.3,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-09-23,Monday Delivery,Tue-Wed-Thu,3,9374.24,1132,18.4,226.39999999999998,0.2,0,0,0,0,No Festival,No School Holiday,13.91,3.14,0.0,8k-10k,0.0,0.0,0.0,226.4,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-09-26,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,25235.5,2914,18.95,643.1,0.22,0,0,0,0,No Festival,No School Holiday,2.15,1.66,0.0,12k+,0.0,0.0,0.0,643.1,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-09-30,Monday Delivery,Tue-Wed-Thu,3,11244.04,1331,18.49,266.2,0.2,0,0,0,0,No Festival,No School Holiday,3.93,3.42,0.0,10k-12k,0.0,0.0,0.0,266.2,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-10-03,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,29144.23,3385,19.03,756.7,0.22,0,0,0,0,No Festival,No School Holiday,2.13,2.08,0.0,12k+,0.0,0.0,0.0,756.7,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-10-07,Monday Delivery,Tue-Wed-Thu,3,11724.33,1394,18.5,278.8,0.2,0,0,0,1,No Festival,No School Holiday,4.91,7.51,0.0,10k-12k,0.0,0.0,0.02,306.7,27.9,9.1,Product-mix volatility,"Product mix shifted toward poutine-heavy demand, increasing wastage pressure."
2024-10-10,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,31532.18,3595,19.29,829.5,0.22,0,0,0,0,No Festival,No School Holiday,3.42,5.84,0.0,12k+,0.0,0.0,0.0,829.5,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-10-14,Monday Delivery,Tue-Wed-Thu,3,10884.09,1276,19.21,255.2,0.2,0,0,0,0,No Festival,Autumn Holiday,5.05,4.19,0.0,10k-12k,0.0,0.0,0.0,255.2,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-10-17,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,29300.09,3435,18.85,768.7,0.22,0,0,0,0,No Festival,Autumn Holiday,1.59,2.85,0.0,12k+,0.0,0.0,0.0,768.7,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-10-21,Monday Delivery,Tue-Wed-Thu,3,12013.03,1352,19.92,270.4,0.2,0,0,0,0,No Festival,Autumn Holiday,9.47,5.94,0.0,12k+,0.0,0.0,0.0,270.4,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-10-24,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,29363.04,3370,19.68,753.1,0.22,0,0,0,0,No Festival,Autumn Holiday,6.7,4.04,0.0,12k+,0.0,0.0,0.0,753.1,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-10-28,Monday Delivery,Tue-Wed-Thu,3,10412.7,1208,19.29,241.6,0.2,0,0,0,0,No Festival,No School Holiday,9.61,2.0,0.0,10k-12k,0.0,0.0,0.0,241.6,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-10-31,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,29502.53,3357,19.3,774.4,0.22,0,0,0,1,No Festival,No School Holiday,4.45,7.14,0.0,12k+,0.0,0.0,0.02,841.5,67.1,8.0,Product-mix volatility,"Product mix shifted toward poutine-heavy demand, increasing wastage pressure."
2024-11-04,Monday Delivery,Tue-Wed-Thu,3,11575.99,1363,18.57,272.6,0.2,0,0,0,0,No Festival,No School Holiday,5.9,3.63,0.0,10k-12k,0.0,0.0,0.0,272.6,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-11-07,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,30463.71,3519,19.24,786.7,0.22,0,0,0,0,No Festival,No School Holiday,5.25,4.17,0.0,12k+,0.0,0.0,0.0,786.7,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-11-11,Monday Delivery,Tue-Wed-Thu,3,10576.94,1249,18.09,249.8,0.2,0,0,1,0,No Festival,No School Holiday,10.05,4.66,0.0,10k-12k,0.0,0.02,0.0,274.8,25.0,9.1,Low-sales order value inconsistency,"Low-sales cycle still showed volatile order value, which can distort stock ordering."
2024-11-14,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,30718.92,3554,19.42,820.6999999999999,0.22,0,0,0,0,No Festival,No School Holiday,5.03,3.62,0.0,12k+,0.0,0.0,0.0,820.7,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-11-18,Monday Delivery,Tue-Wed-Thu,3,10669.96,1281,18.14,256.2,0.2,0,0,0,0,No Festival,No School Holiday,7.94,4.21,0.0,10k-12k,0.0,0.0,0.0,256.2,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
2024-11-21,Thursday Delivery,Fri-Sat-Mon (+Sun spillover),4,29608.48,3470,18.95,799.1,0.22,0,0,0,0,No Festival,No School Holiday,4.92,2.33,0.0,12k+,0.0,0.0,0.0,799.1,0.0,0.0,No excess stock,Regular cycle aligned with the stock rule.
